miRNA Name,Disease Name,MeSH
hsa-miR-593-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-421,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-658,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-30b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-125a-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-214-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1247-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-133b,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-181b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-607,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-134-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-181a-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-101-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-25-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1265,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-30c-2-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-593-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-369-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-548p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-149-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1244,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-485-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1256,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-140-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-548b-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-210-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-33a-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-224-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-532-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-493-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-377-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1275,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-489-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-10b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1183,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-613,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-22-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-940,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-522-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-377-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-612,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-143-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1182,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-206,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-198,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-124-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-153-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-515-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-802,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-29b-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-9-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-532-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-142-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-106b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-199b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-512-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-618,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-647,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1205,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-152-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-29a-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-524-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-17-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1303,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-562,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-324-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-512-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-564,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-27a-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-200c-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1286,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-103a-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-636,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-452-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-141-3p,sarcoma,Sarcoma
hsa-miR-29c-3p,sarcoma,Sarcoma
hsa-miR-24-3p,sarcoma,Sarcoma
hsa-miR-29a-3p,sarcoma,Sarcoma
hsa-miR-23b-3p,sarcoma,Sarcoma
hsa-miR-148a-3p,colon cancer,Colonic Neoplasms
hsa-miR-663a,colon cancer,Colonic Neoplasms
hsa-miR-593-3p,lung cancer,Lung Neoplasms
hsa-miR-767-3p,lung cancer,Lung Neoplasms
hsa-miR-181d-5p,lung cancer,Lung Neoplasms
hsa-miR-612,lung cancer,Lung Neoplasms
hsa-miR-616-3p,lung cancer,Lung Neoplasms
hsa-miR-195-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-145-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-101-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-29c-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-23b-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-376c-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-99a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-193a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-144-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-125a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-140-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-130a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-143-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-374b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3137,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-612,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-194-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-4269,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1323,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-199a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-125b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-17-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-338-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-374a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-199b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-186-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-100-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-9-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-145-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-491-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-331-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-766-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-98-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-496,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-127-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-185-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-27a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-10b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-940,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-29b-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-103a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-143-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-501-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-30b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-381-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-24-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-26a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-17-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-148a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-296-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-634,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-188-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-452-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1224-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-340-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-106b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-152-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1236-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-532-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-361-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-200a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-141-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-377-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-361-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-29a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-20a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1306-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-188-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-324-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-129-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-761,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-485-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-34b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-335-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-877-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-326,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-142-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-140-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1287-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-214-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-661,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1275,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1258,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-432-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-767-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1247-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-130a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-200b-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-494-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-489-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-181d-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-885-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-519d-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-636,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-345-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1229-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3156-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-32-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-4302,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-16-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-302b-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-583,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-150-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-526b-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-544a,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-518a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1538,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1271-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-297,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-200c-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-711,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1299,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1285-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-330-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-582-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3164,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1184,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-197-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-597-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-454-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1260b,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-142-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-210-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-532-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-10a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-149-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-379-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-22-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1303,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1294,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-670-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1322,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-873-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-424-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-558,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-944,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-224-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-146a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-635,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-346,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1909-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-214-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-512-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-518c-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-206,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-548p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-600,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-885-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1257,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-545-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1305,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-30b-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-135b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-96-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-181b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-507,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-629-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3666,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-593-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-30c-2-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-34a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3198,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-663a,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3127-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-646,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-516a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-658,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-892b,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3680-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-610,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1231,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-429,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1296-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-665,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-182-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-526b-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-622,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-135a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1265,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1261,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-567,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-890,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-141-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-485-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-378a-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-433-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-625-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-370-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-183-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-572,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-339-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-198,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-7-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-134-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-520a-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3619-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-218-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-490-3p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1270,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-3918,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-139-5p,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-23c,biliary tract cancer,Biliary Tract Neoplasms
hsa-miR-1909-3p,chordoma,Chordoma
hsa-miR-181b-5p,chordoma,Chordoma
hsa-miR-382-5p,chordoma,Chordoma
hsa-miR-4270,chordoma,Chordoma
hsa-miR-103a-3p,chordoma,Chordoma
hsa-miR-1231,chordoma,Chordoma
hsa-miR-572,chordoma,Chordoma
hsa-miR-99a-5p,chordoma,Chordoma
hsa-miR-107,chordoma,Chordoma
hsa-miR-145-5p,chordoma,Chordoma
hsa-miR-23b-3p,chordoma,Chordoma
hsa-miR-181a-5p,chordoma,Chordoma
hsa-miR-26a-5p,chordoma,Chordoma
hsa-miR-885-3p,chordoma,Chordoma
hsa-miR-185-5p,chordoma,Chordoma
hsa-miR-16-5p,chordoma,Chordoma
hsa-miR-127-3p,chordoma,Chordoma
hsa-miR-93-5p,chordoma,Chordoma
hsa-miR-762,chordoma,Chordoma
hsa-miR-125a-5p,chordoma,Chordoma
hsa-miR-125b-5p,chordoma,Chordoma
hsa-miR-34a-5p,chordoma,Chordoma
hsa-miR-17-5p,chordoma,Chordoma
hsa-miR-663a,chordoma,Chordoma
hsa-miR-361-5p,chordoma,Chordoma
hsa-miR-2054,chordoma,Chordoma
hsa-miR-1260b,chordoma,Chordoma
hsa-miR-106b-5p,chordoma,Chordoma
hsa-miR-671-5p,chordoma,Chordoma
hsa-miR-143-3p,chordoma,Chordoma
hsa-miR-24-3p,chordoma,Chordoma
hsa-miR-936,chordoma,Chordoma
hsa-miR-195-5p,chordoma,Chordoma
hsa-miR-346,chordoma,Chordoma
hsa-miR-29a-3p,chordoma,Chordoma
hsa-miR-339-5p,chordoma,Chordoma
hsa-miR-638,chordoma,Chordoma
hsa-miR-760,chordoma,Chordoma
hsa-miR-100-5p,chordoma,Chordoma
hsa-miR-20a-5p,chordoma,Chordoma
hsa-miR-146a-5p,colorectal cancer,Colorectal Neoplasms
hsa-miR-876-5p,colorectal cancer,Colorectal Neoplasms
hsa-miR-532-3p,kidney cancer,Kidney Neoplasms
hsa-miR-502-3p,kidney cancer,Kidney Neoplasms
hsa-miR-3619-5p,kidney cancer,Kidney Neoplasms
hsa-miR-145-5p,skin cancer,Skin Neoplasms
hsa-miR-195-5p,skin cancer,Skin Neoplasms
hsa-miR-135b-5p,skin cancer,Skin Neoplasms
hsa-miR-185-5p,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-1260b,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-340-5p,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-613,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-1204,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-1270,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-1305,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-3666,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-519d-3p,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-185-3p,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-562,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-3137,pancreatic cancer,Pancreatic Neoplasms
hsa-miR-607,thyroid cancer,Thyroid Neoplasms
hsa-miR-302e,lung cancer,Lung Neoplasms
hsa-miR-1243,lung cancer,Lung Neoplasms
hsa-miR-574-5p,lung cancer,Lung Neoplasms
hsa-miR-767-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-519d-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-200a-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-766-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-361-3p,prostate cancer,Prostatic Neoplasms
hsa-miR-610,prostate cancer,Prostatic Neoplasms
hsa-miR-340-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-30b-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-324-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-1260b,ovarian cancer,Ovarian Neoplasms
hsa-miR-223-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-142-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-646,ovarian cancer,Ovarian Neoplasms
hsa-miR-26a-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-762,ovarian cancer,Ovarian Neoplasms
hsa-miR-761,ovarian cancer,Ovarian Neoplasms
hsa-miR-367-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-1324,ovarian cancer,Ovarian Neoplasms
hsa-miR-96-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-486-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-767-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-1257,ovarian cancer,Ovarian Neoplasms
hsa-miR-542-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-580-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-1183,ovarian cancer,Ovarian Neoplasms
hsa-miR-454-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-194-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-890,ovarian cancer,Ovarian Neoplasms
hsa-miR-515-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-544a,ovarian cancer,Ovarian Neoplasms
hsa-miR-1248,ovarian cancer,Ovarian Neoplasms
hsa-miR-10b-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-502-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-302e,ovarian cancer,Ovarian Neoplasms
hsa-miR-614,ovarian cancer,Ovarian Neoplasms
hsa-miR-369-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-492,ovarian cancer,Ovarian Neoplasms
hsa-miR-892b,ovarian cancer,Ovarian Neoplasms
hsa-miR-21-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-1205,ovarian cancer,Ovarian Neoplasms
hsa-miR-23c,ovarian cancer,Ovarian Neoplasms
hsa-miR-562,ovarian cancer,Ovarian Neoplasms
hsa-miR-1287-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-150-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-338-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-338-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-33a-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-337-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-936,ovarian cancer,Ovarian Neoplasms
hsa-miR-218-5p,ovarian cancer,Ovarian Neoplasms
hsa-miR-1286,ovarian cancer,Ovarian Neoplasms
hsa-miR-153-3p,ovarian cancer,Ovarian Neoplasms
hsa-miR-485-3p,ovarian cancer,Ovarian Neoplasms
